Airman Kenny Rivera Rojas represents the best of Arkansas by selflessly serving those affected by Hurricane Maria.https://www.defense.gov/News/Article/Article/1336707/little-rock-airman-supports-family-in-puerto-rico/source/GovDelivery/ …	
ICYMI: This afternoon I discussed the 2016 election on @CNNSitRoom with @WolfBlitzer. WATCH:https://www.youtube.com/watch?v=DoxDtl7fbIY …	
On with @wolfblitzer now. Tune in!	
My statement on the 2016 election: http://ow.ly/2uuA3060vuf pic.twitter.com/Lvng6SIVZO	
Congratulations to the Memphis VA on the ribbon cutting of their new primary care facility.pic.twitter.com/sceJLfksXW	
Thank you #SecDef for your leadership on recapitalizing “the bedrock of American Security” our nuclear deterrent.http://ow.ly/BiU1305Z18W 	#SecDef
Need help with the IRS, VA, or Social Security? My office can help!pic.twitter.com/AeA1aFqqf1	
#Obamacare is in a death spiral and we must take action before things get worse.http://ow.ly/L9RH305QR6U 	#Obamacare
Need help with the IRS, VA, or Social Security? My office can help!pic.twitter.com/FQltCEBtBy	
Best of luck to the @ArkRazorbacks in their game against Florida! #WPS #GoHogs	#WPS #GoHogs
Cheering for the Dardanelle Sand Lizards tonight during their game against Waldron!	
Thank you to those law enforcement officers who put their lives on the line each & every day to keep Arkansans safe.pic.twitter.com/pMwsfdAOkr	
You're on! Blind taste test judged by our colleagues? I'm confident Arkansas cheese dip will emerge the winner over Texas "queso".https://twitter.com/johncornyn/status/794289220793737216 …	
READ my oped in @fxnopinion "Our President Desperately Needs an #Obamacare Reality Check”http://ow.ly/784x305PC0S 	#Obamacare
#TBT via @rsvlcourier http://www.couriernews.com/view/full_story/27304156/article--throwbackthursday …pic.twitter.com/OUSW2Fz1MX	#TBT
Great turnout for the Heber Springs Chamber Office and Welcome Center Ribbon Cutting this week!pic.twitter.com/vBMi0v6oxg	
. @SenTedCruz @JohnCornyn…Arkansas cheese dip > Texas cheese diphttp://ow.ly/BeU4305OY3S 	
Joining @foxandfriends to discuss #Obamacare and Hillary Clinton's emails shortly. Tune in!pic.twitter.com/i1rPgqVf5p	#Obamacare
My Statement on Hillary Clinton’s emails: http://ow.ly/lZnb305N2qj pic.twitter.com/uxMkH3m2n9	
Students in NWA had the opportunity to hear from Steen Metz, a holocaust survivor who recently shared his moving story.pic.twitter.com/tXaXK2NgwE	
If Anthem abandons the exchanges, far more states & counties will have Obamacare monopolies or no options at all.http://ow.ly/Z7Pn305MH2j 	
Yesterday I joined @HughHewitt to discuss Hillary Clinton’s emails. LISTEN:pic.twitter.com/YecHIoo2r4	
As #Obamacare open enrollment begins today remember that exchange coverage is not a mark of success...pic.twitter.com/thMCFWR7fM	#Obamacare
Earlier today I joined KARN @NewsRadio1027 to disucss the FBI re-opening the investigation into Hillary Clinton’s emails:pic.twitter.com/kwJjTFhpuK	
READ “Tom Cotton: Hillary Clinton Has No One to Blame but Herself for Email Scandal” via @TheIJRhttp://ow.ly/v21A305KvQE 	
Obamacare is in a death spiral and we must take action before things get worse. http://ow.ly/qoP0305wa2y 	
Earlier this morning I joined @HughHewitt to discuss Hillary Clinton’s emails. LISTEN:pic.twitter.com/2n26OfH6TP	
Joining KARN @newsradio1029 shortly. Tune in!	
Joining the @hughhewitt radio show shortly. Tune in!	
My statement on the FBI investigation of Hillary Clinton’s emails: http://ow.ly/d59H305DWmW pic.twitter.com/xs1UYWDEXK	
A Halloween #Obamascare…pic.twitter.com/nMoujzZuPg	#Obamascare
I applaud the Court of Federal Claims for forcing the Army to look at a true solution to the DCGS-A program. http://ow.ly/vdoC305I2dS 	
Congratulations to La-Z-Boy in Siloam Springs on achieving 4 million safety hours. Great work!pic.twitter.com/mh2QpKU9RN	
Congratulations to LTC Anthony Sanders, of Sherwood, Arkansas on a great promotion ceremony.pic.twitter.com/jNSfs01N4q	
Need help with the IRS, VA, or Social Security? My office can help!pic.twitter.com/DCgrbAkg25	
Obamacare Reality Check: The #Obamacare exchange system is on the verge of a collapse.pic.twitter.com/npCgfu9qfD	#Obamacare
Best of luck to @ArkansasState on their game against ULM! #AState	#AState
Obamacare reality check: The admin is 13 million short of their goal of 24 million people signing up for #Obamacare by 2016pic.twitter.com/AwrIABVxzH	#Obamacare
"Operation Troop Treats” is going on in Fort Smith. Thanks for supporting our troops.http://ow.ly/pMK2305DolJ 	
READ "ObamaCare fallout: As premiums rise, so does cost to taxpayers” via @FoxNewshttp://ow.ly/d6aM305CXvg 	
#Obamacare reality check: Insurance companies are fleeing the #Obamacare exchanges because of low enrollment and high costspic.twitter.com/Y4nqmrpJCr	#Obamacare #Obamacare
My statement after the US abstained from a UN vote condemning the trade embargo on #Cuba: http://ow.ly/e5Og305BcMK pic.twitter.com/uW9WYDhBPA	#Cuba
#Obamacare hurts Arkansas families by driving up annual health care costs. http://ow.ly/7RBk305B41n pic.twitter.com/grUfibpAoT	#Obamacare
Let's give Americans a break from this unaffordable law by passing the Obamacare Tax Relief & Consumer Choice Act: http://ow.ly/5f71305AGo8 	
My statement after the US abstained from a UN vote condemning the trade embargo on #Cuba: http://ow.ly/xk1a305AxLs 	#Cuba
Did you know under Obamacare the annual health care costs for a family of 6 in Little Rock, Arkansas are between $27,300 and $32,300?pic.twitter.com/Mnx5asbqYs	
Obamacare is in a death spiral and we must take action before things get worse. http://ow.ly/qoP0305wa2y 	
Thank you to all men and women serving our country around the world. #DayOfTheDeployed #Veterans	#DayOfTheDeployed #Veterans
READ “Late SEAL’s name goes on Arkansas post office” via @ArkansasOnlinehttp://ow.ly/UWsI305wjPx 	
Earlier this year I spoke on the Senate floor support of naming post office after Arkansas hero Adam Brown. WATCH:pic.twitter.com/RKqeVQZQES	
Yesterday, the Obama administration confirmed another Obamacare broken promise. http://ow.ly/qoP0305wa2y 	
POTUS claimed that Obamacare would lower the cost of premiums... but Americans will pay avg 25% more than last year http://ow.ly/qoP0305wa2y 	
It was a honor to help dedicate the Adam Brown Post Office. Adam's service & legacy will never be forgotten.pic.twitter.com/e1pPW1bwQd	
I enjoyed joining @RepWesterman for "Coffee with your Congressman" this morning in Hot Springs. Thanks for coming out!pic.twitter.com/pLlOrrgBaG	
READ “WWII Veteran Gets Medals He Earned More Than 70 Years Ago” via @KSLAhttp://ow.ly/80Kb305qIDz 	
It's deeply regrettable that the Honeycomb restaurant will be forced to close their doors due to burdensome regs. WATCH via @KARK4Newspic.twitter.com/EXpHTyw0lC	
Best of luck to the @ArkRazorbacks tonight! Beat Auburn! #WPS	#WPS
Need help with the IRS, VA, or Social Security? My office can help!pic.twitter.com/0If9rRyt5U	
Congratulations to all those participating in the #RaceForTheCure in Little Rock and thank you for supporting such an important cause!	#RaceForTheCure
Great talking with students at the First Baptist Christian School this morning in Rogers. Thanks for the great questions!pic.twitter.com/XJhUTvZoMZ	
It was an honor to present lost medals to Julious Elmore in Magnolia. WATCH via @KSLApic.twitter.com/lSEENVEmSY	
Click here to learn more about Julious Elmore, the WWII Veteran I recently presented lost medals to in Magnolia. http://ow.ly/nVDS305mQkg pic.twitter.com/eozwxpgqJK	
Allowing the #INF treaty to die a slow death due to the aggressive actions of Putin is simply not an option. http://ow.ly/tOOf305lv0i 	#INF
Thanks to @KATVnews for shedding light on the unfortunate closure of the Honeycomb in Arkadelphia. WATCHpic.twitter.com/zC5PlZ67FI	
My statement on reports that Russia is advancing its missile program in violation of the #INF treaty: https://www.cotton.senate.gov/?p=press_release&id=527 …	#INF
Learn more about my visit to the Honeycomb restaurant in Arkadelphia @RepWesterman via @SiftingsHeraldhttp://www.siftingsherald.com/news/20161018/sen-tom-cotton-congressman-bruce-westerman-visit-honeycomb …	
I enjoyed visiting with students at Arkansas High School yesterday in Texarkana. WATCH via @NBC6Newspic.twitter.com/2EQi5f9cQF	
It was an honor to present lost medals to World War II Veteran and hero Julious Elmore in Magnolia today.pic.twitter.com/Tqed8HpA7e	
Thanks to Arkansas High School in Texarkana for hosting me this afternoon! Great visit!pic.twitter.com/iFCOo1Vme7	
READ “Sen. Tom Cotton, Congressman Bruce Westerman visit Honeycomb” via @SiftingsHerald http://ow.ly/9YU1305iKzL 	
It's deeply regrettable that the Honeycomb restaurant will be forced to close their doors due to burdensome regs. http://ow.ly/WE9O305iJtA 	
ICYMI: I talked to @KATVnews about the impact new federal labor regs are having on organizations in Arkansas.pic.twitter.com/xKMhbSbKyi	
Exciting groundbreaking last week for ACDI’s new headquarters in Benton.pic.twitter.com/YONyujWrBz	
Congratulations to Conway County on a great 100 year celebration of the beautiful county library.pic.twitter.com/ra7rSTZ3cw	
Killing #ICBM + declaring #NFU is dangerous and destabilizing. Pentagon and allies oppose. READ -->http://www.wsj.com/articles/naive-nuclear-proposals-for-a-dangerous-world-1476484967 …	#ICBM #NFU
Way to go @ArkRazorbacks! Great win over Ole Miss!pic.twitter.com/EH9hXl4hpj	
Best of luck to the @ArkRazorbacks! Beat Ole Miss! #GoHogs #WPS	#GoHogs #WPS
The DHS IG report only focused on a slice of all improper immigration benefits. @SenRonJohnson & I demanded answers. http://ow.ly/4XPZ305d9ue 	
We must hold the EPA accountable. READ "GOP Demands Punishment From AG Lynch Over Gold King Mine Disasters"http://ow.ly/2IaI305d9oR 	
Join me in celebrating #NPS100 birthday— I encourage you to take advantage of our national parks in Arkansas!pic.twitter.com/pjEP0LrNHt	#NPS100
Need help with the IRS, VA, or Social Security? My office can help!pic.twitter.com/6EHjiWApn7	
I join with the Thai people and others around the world to mourn the loss of King Bhumibol Adulyadej.http://ow.ly/6PPE305bDnU 	
The DHS IG report only focused on a slice of all improper immigration benefits. @SenRonJohnson & I demanded answers. http://ow.ly/1bi7305bCVc 	
The dangerous resolution just passed by UNESCO sets the stage for further terrorist attacks against Israelis https://www.cotton.senate.gov/?p=press_release&id=525 …	
. @SenRonJohnson & I sent a letter to @DHSgov demanding the full number of people improperly given citizenship http://ow.ly/S3Kq3059vAn 	
. @DHSgov must provide Congress with the full number of people improperly granted citizenship. http://ow.ly/s5AQ3059vNq 	
My reflections on the Life and Legacy of King Bhumibol Adulyadej of Thailand. http://ow.ly/UlCr3059uE0 	
Do you know an Arkansan who has made an impact on their community? #ArkansanOfTheWeekpic.twitter.com/OHAEz5o8oH	#ArkansanOfTheWeekpic
Need help with the IRS, VA, or Social Security? My office can help!pic.twitter.com/KFWCu79HmW	
Happy #NationalFarmersDay— thank you to all of Arkansas’s farmers!pic.twitter.com/KONmFoR45Z	#NationalFarmersDay
My statement on the U.S. Court of Appeals Ruling on the Constitutionality of the CFPB’s Structure: https://www.cotton.senate.gov/?p=press_release&id=522 …	
October is National Disability Employment Month. Learn about my bill, the Return to Work Act here —> http://ow.ly/S6443055g7V 	
My thoughts are with Senator David Pryor and his family and I am praying he makes a speedy recovery.	
Joining @newsradio1029 shortly. Tune in!	
Joining the @hughhewitt radio show shortly. Tune in!	
READ " @repdavidyoung & Sen. Cotton: Put #veterans first by improving crisis hotline” via @DMRegisterhttp://ow.ly/5nlo3052Skj 	#veterans
Be sure to take advantage of our national parks in Arkansas this #ColumbusDay weekend! #NPS100pic.twitter.com/l5VYEPsTgD	#ColumbusDay #NPS100pic
Celebrating the discovery of our great nation on this #ColumbusDay. Hope all Arkansans enjoy this day with family & friends!	#ColumbusDay
READ my op-ed with @RepMikePompeo "What We Learned in Scandinavia About Migrants” via @WSJopinionhttp://ow.ly/9r3W304XqWn 	
Let’s go @Razorbackfootball! #BeatBama #WPS	#BeatBama #WPS
READ " @repdavidyoung & Sen. Cotton: Put #veterans first by improving crisis hotline” via @DMRegisterhttp://ow.ly/scHR304Xqg7 	#veterans
Need help with the IRS, VA, or Social Security? My office can help!pic.twitter.com/v4qsEbudOi	
Join me in celebrating #NPS100 birthday— I encourage you to take advantage of our national parks in Arkansas!pic.twitter.com/ruDAAedWsX	#NPS100
. @JohnKerry & Treasury Secretary Jack Lew should provide info on their decision to lift sanctions on an Iranian bank http://ow.ly/Xhl5304XpoY 	
Great turnout for the Arkansas Forestry Association Annual Meeting in Fayetteville this week.pic.twitter.com/UmOAqOb3Dg	
