Looking forward to joining @smerconish on @CNN - tune in!	
Last night I stood w my Dem colleagues to oppose an outright repeal of the #ACA w out replacement. Watch here:https://www.youtube.com/watch?v=Or8rJKdyavA …	#ACA
(1/3) Happy to see 630 U.S. companies pledging their support for a low-carbon economy. http://lowcarbonusa.org/ 	
I joined @foxandfriends this morning to discuss today's hearing on Senator Sessions for U.S. #AttorneyGeneral. Watch here:pic.twitter.com/nsSslvc7qA	#AttorneyGeneral
Some saying #ACA repeal necessary for US fiscal health. False. Budget resolution will increase nat'l debt by nearly $10 trillion over 10 yrs	#ACA
The bottom line is that #ACA has helped millions of Americans access high-quality coverage. Trumpcare is an empty promise. It's that simple.	#ACA
Dems have been clear that #ACA is not perfect. That’s why we've spent 6 yrs trying to find R's willing to work together to improve the law.	#ACA
About to talk on Senate floor abt why GOP's plan to repeal instead of improving #ACA is reckless and will leaves millions w/out coverage	#ACA
(5/5) Or Kerry of Wilmington, who says if it weren't for the #ACA she wouldn't have rec'd colon cancer diagnosis in time to treat	#ACA
(2/5) I've heard from many Delawareans abt how #ACA has helped them live healthier, safer lives- I'll share some of those stories tonight	#ACA
(1/5) Heading to Senate floor to join my Dem colleagues to urge GOP to halt effort to repeal the #ACA without a replacement plan - tune in!	#ACA
Our Pres-elect must understand that the presidency is a full-time job with only one client: The American people	
That's why I urge Congress to pass our bill to require presidents to divest financial interests and place proceeds in a blind trustpic.twitter.com/69gjdhic1Y	
To this day, Pres-elect Trump has refused to address his conflicts of interest. His continued delay in taking such steps is deeply troubling	
Our Pres-elect has greater risk of conflicts of interest than any other president yet has refused to follow precedent set by past admins	
I joined @ChrisJansing on @MSNBC today to talk abt the ethics concerns of rushing through Pres-elect Trump's nominees, upcoming hearings:pic.twitter.com/7I6RWXPJCF	
Honored to join with @SenThomTillis on oped abt urgent need for criminal justice reform. Read on @CNN here:http://edition.cnn.com/2017/01/09/opinions/america-needs-criminal-justice-reform-coons-tillis/index.html …	
Getting ready to join @smerconish this AM on @CNN - tune in!	
(3/3) In Delaware alone, each year 8,000 men & women rely on health care services from @PPDelaware. #IstandWithPP	#IstandWithPP
At @delawaretech to celebrate @USDOL $3.5m grant to train students for good paying jobs in #manufacturing and information technology #netdepic.twitter.com/mWnDeYZwAp	#manufacturing #netdepic
(2/3) Over 2.5 million Americans visit @PPFA each year. Congress must continue to fund this org that has empowered so many women & families	
(1/3) Proud to join @SenateDems to urge Republicans not to defund @PPFA – this would be a huge step backwards for women's healthcare rights	
(3/3) Pushing through a partisan full repeal of ACA means nearly 30 million Americans will lose coverage & market would be thrown into chaos	
(1/3) Today I joined @SenatorCarper to urge Republicans to improve, not repeal, Obamacare. Read more here: https://www.coons.senate.gov/newsroom/press-releases/carper-coons-encourage-republicans-to-make-commonsense-improvements-to-obamacare-not-repeal-altogether- …pic.twitter.com/PeNd94eX6Y	
Pleased to welcome the @DelawareFH women’s team to D.C. Thank you for making UD proud! #netDE #ncaaFHockey Champs!pic.twitter.com/mtLB15aN0Y	#netDE #ncaaFHockey
Pleased to see beach replenishment project at Rehoboth & Dewey completed – great news for Delaware's beaches! #NetDehttp://www.capegazette.com/article/112-million-beach-replenishment-complete/122835 …	#NetDehttp
Delawarean and #Middletown HS WR @CGtwelve_ having a career game right now for @psufootball - 9 catches for 187yds and 2 scores! #NetDE	#Middletown #NetDE
Great to join @NewDay on @CNN today to discuss U.S. nuclear capabilities & President-elect Trump's approach to foreign policy:pic.twitter.com/UCmg0KQnvC	
Looking forward to joining @CNN @NewDay this morning in just a few moments. Be sure to tune in!	
Today I joined @mitchellreports to discuss Russian interference in our democracy, the Berlin attack, & balancing civil liberties w securitypic.twitter.com/ximELQXG7Y	
Started new holiday tradition this year by hosting an intern "reunion." Great turnout and wonderful to hear about their many successes!pic.twitter.com/GeaoXsnz8D	
I also had the chance to talk with @brikeilarcnn on @CNNSitRoom about Russian interference in US cybersecurity & US-Israel relations:pic.twitter.com/9SiNc2MzTO	
Great to tour the real-time crime center at the Wilmington Police Dept and learn about crime reduction technologies w AG @LorettaLynchpic.twitter.com/ecCsC5zx04	
(2/5) Our bill to help the gov utilize crowdsourcing and citizen science to tackle a range of challenges will become law @SteveDaines	
(1/5) Great news! 4 bipartisan bills I led in Senate to support science, manufacturing & small biz will become law http://bit.ly/2hAVrwK 	
Great to talk with AG @LorettyaLynch about the work Delaware is doing to address challenges of over incarceration and reentry #netdepic.twitter.com/P4scEsfvvv	#netdepic
Excited to welcome @LorettaLynch to Wilmingtonfor today's community conversation about juvenile justice and advancing justice in our country	
Great news! @CommerceGov selected @Udelaware to lead country's first manufacturing innovation institution focused on biopharmaceutical mfghttps://twitter.com/UDelaware/status/809791112005251072 …	
That's why we must pass our bill in Jan to require Presidents to divest financial interests & place proceeds in a blind trustpic.twitter.com/1rFegmQZ03	
This is deeply troubling because the presidency is a full-time job with only one client: the American people	
Our Pres-elect has greater risk of conflicts of interest than any other president yet has refused to follow precedent set by past admins	
Happy so many people brought delicious treats to thank the US @CapitolPolice today - like these treats from Delaware's @serpesbakery! #netdepic.twitter.com/UN61kVZLCM	#netdepic
It is our responsibility as Americans to know our rights so we can defend them, not just for ourselves, but for all of us #BillofRightsDay	#BillofRightsDay
I encourage everyone to read the #BillofRights and talk to your families, friends & coworkers abt what these rights mean to us as Americans	#BillofRights
Today is the 225 anniversary of the day the #BillofRights was ratified- one of our founding documents @LibertyDayUSAhttps://www.youtube.com/watch?v=Fz8SAd5uHiU&feature=youtu.be …	#BillofRights
Congratulations to @MeghanYerkes for your nomination to the Military Academy! #NetDehttps://twitter.com/smyrnahs/status/809416890066108416 …	#NetDehttps
Great to join @NewDay today to talk w @AlisynCamerota about the National Prayer Breakfast, Rex Tillerson & the worsening crisis in Syria:pic.twitter.com/HmVBTiy2Te	
Pleased the Administration moved today to finalize rule on Title X program to protect reproductive health and family planning programs	
Last night I joined @WolfBlitzer on the @CNNSitRoom to talk about Russian hacking on U.S. cybersecurity:pic.twitter.com/VTgUn58Tvz	
Particularly pleased to see cancer provisions in #CuresAct named after Beau Biden become law to help make @VP's cancer moonshot a reality	#CuresAct
Great to join @KatyTurNBC to talk about Rex Tillerson's nomination as Sec. of State & allegations of Russian hacking – watch:pic.twitter.com/DFNoT6gSYY	
Here's my full statement on President-elect Trump's nomination of Rex Tillerson for Secretary of State:pic.twitter.com/tjW8F0a7cJ	
Last night I joined @HardballChris on @MSNBC to discuss the evidence of Russian interference in US election and Rex Tillerson:pic.twitter.com/WWRi9bxgYD	
We cannot let Russia's interference in our political systems continue- this is not a partisan issue, this is abt the future of our democracy	
This August I joined @SenWhitehouse to call for hearing on Russian involvement in our elections: https://www.coons.senate.gov/newsroom/press-releases/senators-coons-whitehouse-call-on-senator-cruz-to-hold-hearing-on-trumps-support-for-russian-involvement-in-us-election …	
Glad to see R&D colleagues call for hearings on Russian hacking to influence our elections- bipartisan action we should've taken months ago	
Ran into a fellow Blue Hen in Washington, D.C. - it must have escaped Delaware! Go #BlueHens #netdepic.twitter.com/ZZQ8RgDVxr	#BlueHens #netdepic
(4/4) I am eager to learn more abt Mr. Tillerson's approach to Russia, N Korea, ISIS, China & other issues our next Sec. of State will face	
(3/4)… at a time when we need to be direct & tough w Russia, given recent credible reports of Russian efforts to interfere in our democracy	
(2/4) Still, I'm deeply concerned that Mr. Tillerson's long & close ties to Russia and Putin could unduly influence his decision making…	
(1/4) I'm committed to giving Pres-elect's nominees full & fair consideration & Mr. Tillerson would bring years of int'l business experience	
Here's my full statement in response to reports that President-elect Trump has selected Exxon Mobile CEO Rex Tillerson as his Sec. of State:pic.twitter.com/tzZUE2pLuc	
(2/2) As co-chair of the Senate Human Rights Caucus, I will #Standup4humanrights and the rule of law at home and abroad	#Standup4humanrights
Clearly, I had a great time at Taste of Delaware yesterday! Thanks again to all the vendors & guests- read more here http://delonline.us/2hl8Nh2 pic.twitter.com/tHVcILztrK	
Russia must be held accountable for illegal annexation of Crimea & invasion of Ukraine. US should increase support for Ukraine	
I urge Pres-elect to uphold our country's bipartisan support for Ukrainian territorial integrity and #NATO alliance: http://bit.ly/2h1zO8u 	#NATO
Pleased to join 26 colleagues in bipartisan letter to reassert U.S. support for Ukrainian sovereignty and democratic government in Kievpic.twitter.com/s6UNNluScP	
Truly honored to lead bipartisan tributes last night to recognize @VP Joe Biden's legacy in public service – watch here:pic.twitter.com/JjndFwEPB1	
Thank you to @SenateMajLdr, @SenatorReid, @SenatorCarper for joining me in honoring @VP Joe Biden's inspiring career in public service:pic.twitter.com/tKJpbCp6Lp	
Thank you to all the vendors, guests, Delawareans, honorary Delawareans, and @DEStateChamber for making our 6th #tasteofde a memorable one!pic.twitter.com/ke7X70v8Mw	#tasteofde
Starting tributes to honor @VP Joe Biden now on Senate floor – tune into @CSPAN to hear my colleagues share their gratitude & memories	
About to kickoff tributes honoring @VP Joe Biden's legacy in public service on Senate floor – tune in to @CSPAN starting at 3!	
Looking fwd to Taste of Delaware later today at 4pm with @DEStateChamber – come taste Delaware's finest! #NetDe #DelawareDaypic.twitter.com/HfOuiZ8RA0	#NetDe #DelawareDaypic
Happy #DelawareDay, the day our state became the First State. Just spotted a Blue Hen on top of the @ngadc East Wing! #NetDepic.twitter.com/uNckMQy72q	#DelawareDay #NetDepic
Let's never forget all those we lost at #PearlHarbor and all those who served in WWII to defend our freedom #PearlHarborRemembranceDay	#PearlHarbor #PearlHarborRemembranceDay
As a fellow patent advocate, I was thrilled to meet @OnJOfficial whose passion for creativity & invention led her to win @IPO video contestpic.twitter.com/BllF54vyRD	
Great meeting with @DrMichaelLomax, President & CEO of @UNCF yesterday. Look forward to continuing our work together!pic.twitter.com/b2OhMcp3in	
Moving moment on Senate floor tonight; unanimously agreed to rename cancer provisions of 21st Century Cures bill after @VP son Beau Biden	
Great to join @wolfblitzer on @CNN to talk about President-elect Donald Trump's meeting with the Taiwan President. Watch here:pic.twitter.com/OgCh2ckYgS	
Nelson Mandela defined perseverance & faith. On anniv. of his death, we honor his legacy by continuing to fight for a more just & free world	
225 yrs ago today, #Hamilton wrote a report that promoted a economy that included manufacturing – read my oped:http://www.delawareonline.com/story/opinion/2016/12/03/economy-alexander-hamilton/94823870/ …	#Hamilton
From now until end of Jan you can see original text from Hamilton's report on manufacturing at @USNatArchives! I encourage everyone to visitpic.twitter.com/bUpkSLbQ7H	
Today is 225th anniversary of Alexander Hamilton’s “Report on the Subject of Manufactures” - a pivotal document that diversified our economypic.twitter.com/fWKlIN3WYo	
#BuyAmerica is critical for supporting US manufacturing industry– I urge Republicans to stop plan to strip provisionhttp://www.wsj.com/articles/water-bills-buy-american-provision-sparks-some-gop-concerns-1480709387 …	#BuyAmerica
Proud to join Dems to call for House GOP to support #BuyAmerica provision to require US water infrastructure projects to use US steel & iron	#BuyAmerica
Looking forward to joining @smerconish on @CNN today at the top of the 9am hour. Tune in!pic.twitter.com/N63uAcyhKX	
President-elect Trump nominated General James Mattis to serve as U.S. Secretary of Defense - here's my full statement on his nomination:pic.twitter.com/3TpCAknbaj	
Honored to discuss critical role of 14th Amend to equal rights in US @USNatArchives @RosenJeffrey @ConstitutionCtr: http://constitutioncenter.org/experience/programs-initiatives/past-programs/the-14th-amendments-shield-of-national-protection …	
Great to hear about the exciting work students from Kenya are doing on food security as Borel Fellows at UD! @UDcanrpic.twitter.com/6aJkH7DFWC	
Like a proton, I am feeling positive about the four new #periodictable elements:http://www.nytimes.com/2016/12/01/science/periodic-table-new-elements.html …	#periodictable
I'm grateful for Delaware HIV Consortium and @AIDSDE two orgs that have been critical to fighting AIDS in my home state #WAD201pic.twitter.com/KppgSWbf70	#WAD201pic
This #WorldAIDSDay, we must recommit to the fight to #EndAIDS2030 through education, prevention & research. #WAD2016pic.twitter.com/CHv3zhbuJo	#WorldAIDSDay #EndAIDS2030 #WAD2016pic
Good luck to Newark, Delaware's Vicki Kelly on tonight's @Jeopardy match! http://www.delawareonline.com/story/entertainment/2016/11/28/newark-biologist-appear-jeopardy/94551592/ … #netDEpic.twitter.com/pgqFBDdYiS	#netDEpic
Inclusion and diversity have made our country great – we must continue to uphold these values and #SaveDACApic.twitter.com/jkIvgBlV5i	#SaveDACApic
4k #DREAMers are contributing to Delaware. Will we be a stronger state–or nation–if they're deported? The answer is clear: we must #SaveDACA	#DREAMers #SaveDACA
Great to be at @ITIFdc event to talk abt how Congress can support smart manufacturing to keep US competitive @RobAtkinsonITIF #ITIFmfgpic.twitter.com/QXiH3KWsEH	#ITIFmfgpic
Proud to join my colleagues @RonWyden @SteveDaines on floor to call for quick passage of our bill to delay changes to Rule 41 – speaking now	
Juvenile conviction should not put youth on path for continued interactions w criminal justice system- at #WPJustice event w @SenThomTillispic.twitter.com/iHwZfuhf0d	#WPJustice
Great to be at #GWU to talk about what's next for congress w @DanaBashCNN @SenatorLankford and @amyklobucharpic.twitter.com/y3CmjmCXjB	#GWU
Had a great time rocking out with @PrestonSteve933 for #CampOutForHunger 2016 yesterday! #youguysrock (photo credit: @ChorusPhotog)pic.twitter.com/7PqPl0rs3T	#CampOutForHunger #youguysrock
Looking fwd to panel w @amyklobuchar @SenatorLankford @DanaBashCNN @franksesno at #GWU abt opps for bipartisan governing - on @CSPAN at 6pic.twitter.com/XemLvbyjyR	#GWU
Today I joined @KateBolduan and @JohnBerman on @CNN to talk abt Trump's Cabinet appointments and the first amendment – watch here:pic.twitter.com/elXuDQNVkR	
Bruuuuucepic.twitter.com/gowp6bvhQo	
Honored to be on hand to see @POTUS award @tomhanks and @TheEllenShow the Presidential #MedalOfFreedompic.twitter.com/H6E3UHVg0O	#MedalOfFreedompic
(3/3) @HFXForum was also an opportunity to engage with defense and policy leaders from dozens of countries across the globepic.twitter.com/vRLQd3HxJL	
(2/3) The @HFXForum provided an important opportunity to reassure vital allies that the United States' will not abandon NATOpic.twitter.com/lscH45ED2l	
Are you worried about losing Medicaid, Medicare, or http://HealthCare.gov  coverage? Tell your story - tweet a video using #CoverageMatters	#CoverageMatters
I applaud @SenJohnMcCain. D's & R's must work together to ensure US upholds our values & int'l standards:http://www.politico.com/story/2016/11/john-mccain-trump-torture-waterboarding-231668 …	
Happy birthday to my friend and fellow Delawarean @VP Joe Biden!	
How about our @UDelaware @DelawareFH squad!? So proud of this team & their great run! Congrats on their @NCAA national championship! #NetDEpic.twitter.com/3mAeBfsTZx	#NetDEpic
Another great win for the @UDBlueHens field hockey team on their road to the national championship! Let's go Hens! Beat those Heels! #netDEpic.twitter.com/KCaOTrqE3R	#netDEpic
Today, President-elect Trump nominated Senator Sessions to serve as Attorney General - here's my full statement on his nomination:pic.twitter.com/1sCOtT47c9	
Apprenticeships offer one of the best pathways to the middle class #NAW2016 #ApprenticeshipWorks	#NAW2016 #ApprenticeshipWorks
Thinking of those who have lost a loved one from #PancreaticCancer—we are with you! #InItTogetherpic.twitter.com/Rpj1uK6Uf3	#PancreaticCancer #InItTogetherpic
I'm wearing purple in honor of #PancreaticCancer Day to raise awareness so we can come together to end this deadly disease #InItTogetherpic.twitter.com/T2tzWeEoaL	#PancreaticCancer #InItTogetherpic
Speaking now on the Senate floor about why we must delay the implementation of federal rule that could expand gov hacking powers - tune in!	
Pres-elect must make it clear that toxic blend of hate & bigotry Steve Bannon has made a living on has no place in a Trump administration.pic.twitter.com/VHbQKi3ZFV	
Pres-elect Trump pledged to be a president for all Americans. Appointing Steve Bannon is deeply disturbing & inconsistent with that pledge.pic.twitter.com/Il2t9L9PgS	
The reasons I ran for Senate are just as true today as 6 yrs ago. I'll keep seeking common ground & fighting for DE:https://www.youtube.com/watch?v=zMs6N_l1XrQ …	
At a time of great division & change, it’s worth remembering why we keep fighting. Here’s why I ran for office:https://www.youtube.com/watch?v=zMs6N_l1XrQ&feature=youtu.be …	
Today is a day to ask ourselves what each of us is doing to honor our veterans and strengthen our nation. My statement:pic.twitter.com/Pfc8jNr5FB	
. @DEStateChamber Superstar in Biz keynote speaker & @carvertise CEO @Mac_Nagaswami showing why entrepreneurship is alive & well in DE #netdepic.twitter.com/TERRZOUtxa	#netdepic
Great to be w/ Masley and Gilman families today to honor Masley Enterprises w/ the @DEStateChamber Superstars in Business Gilman Bowl #netdepic.twitter.com/YWUbw4m33M	#netdepic
Congratulations to my friend @John_Carney on tonight's win - Delaware is in good hands! #NetDe	#NetDe
Had the opportunity to congratulate DE's 2017 Teacher of the Year @mrswendyturner today. What a great story about following your dreams!pic.twitter.com/E3zx7XtEM7	
Saddened to learn of Janet Reno's passing this morning. My statement:pic.twitter.com/FMrlzHDJR3	
Glad to join @LisaBRochester and keynote speaker @HilaryOShelton for the Wilmington @NAACP Freedom Fund dinner tonight! #netDEpic.twitter.com/GT8t1oyBGd	#netDEpic
Will be joining @FoxNews with @oreillyfactor shortly - tune in!	
At the #DelDems HQ launching a couple canvasses and making some calls on behalf of great friends @JohnCarneyDE and @LisaBRochesterpic.twitter.com/lr2XYXTtbd	#DelDems
I have a plan, do you? In the field office in West Chester making calls for @HillaryClinton and @KatieMcGintyPA. #imwithher #makeaplanpic.twitter.com/4VufSw8KdV	#imwithher #makeaplanpic
Great to talk with @wolfblitzer tonight - watch more here:https://www.youtube.com/watch?v=HY-ymQC-yTY&feature=youtu.be …	
About to join @wolfblitzer on @CNNSitRoom - tune in!	
Great to join in @DelCommunity Foundation Congressional Conversation today. Lots of Delawareans making a difference! #NetDE #philanthropypic.twitter.com/anTzzywPvF	#NetDE #philanthropypic
Congrats to @UDelaware student/DE native David Townsend on election to @NationalFFA president! #NetDE #DelaProudhttp://bit.ly/2fipiqP 	#NetDE #DelaProudhttp
My thoughts and prayers are with the men and women of Des Moines and Urbandale Police Departments tonight.pic.twitter.com/NEM48Wm9ij	
DE is a shining example of how arts can benefit economy & enrich our culture – read my oped in @delawareonline here:http://www.delawareonline.com/story/opinion/contributors/2016/11/02/coons-protecting-arts-pivotal-everyone/93166020/ …	
Great to join #ExportTech conference today and hear from companies like Donnatien Industries & @bwtek! @delawaretech #NetDEpic.twitter.com/o7BwbZeL1a	#ExportTech #NetDEpic
To fight the obesity epidemic in America, the healthcare community must treat obesity as a serious and complex disease. #ObesityCareWeek	#ObesityCareWeek
Taking part in #arts town hall in Wilmington w/ @NEAarts @NEAJaneChu: "the arts celebrate our diversity & what makes our country so unique"pic.twitter.com/RHGj7G61Rc	#arts
Great to tour the Wilmington Creative District w Dr. Carrie Gray of @WilmRen & @NEAJaneChu - here we are on the 7th st art bridge! #NetDepic.twitter.com/pYf0bGGQre	#NetDepic
In honor of Nat'l Arts & Humanities month, I want to highlight the beautiful Del art in my office! @BiggsMuseum @RehoArtLeague #showyourartpic.twitter.com/PhDReCrCVr	#showyourartpic
#HappyHalloween throwback from my family to yours (hope my kids' friends don't follow me on twitter)!pic.twitter.com/NyJKjjHG2Q	#HappyHalloween
I support #SecDef decision to suspend recoupment of California National Guard bonuses. DoD should investigate the issue. Read my statement:pic.twitter.com/BewdsrEtoN	#SecDef
Talking now with @wolfblitzer on @CNN - tune in	
Proud to join #VocalMajority rally & help get out the vote for Dems in NC - keep up the great work! #ImWithHer #TurnNCBlue @resp_solutionspic.twitter.com/gFg6pKVvNK	#VocalMajority #ImWithHer #TurnNCBlue
Congrats to Mt. Pleasant Elementary School teacher Wendy Turner for being named 2016 DE Teacher of the Year. #NetDEpic.twitter.com/VOfYkY2azw	#NetDEpic
Russell Amendment would roll back hard-fought protections against workplace discrimination #RejectRussell	#RejectRussell
Proud to join @SenBlumenthal, colleagues in calling to #RejectRussell – our gov should have no part in funding discrimination	#RejectRussell
#Apprenticeships are one of the best tickets to middle class by providing a good paycheck & on the job training @DelawareDOL #DELaborWorks	#Apprenticeships #DELaborWorks
Thrilled @DelawareDOL won grant to fund the ApprenticeshipDelaware project to support #apprentices in Delaware – great news! NetDE	#apprentices
Proud to wear purple today in honor of #SpiritDay to show support for #LGBTQ youth and take a stand against bullyingpic.twitter.com/nwRJQ0pAva	#SpiritDay #LGBTQ
In Delaware, we build together. Looking forward to watching the progress on the new @FoodBankofDE HQ. Congrats to Pat and her team. #netDEpic.twitter.com/5YcGn7tMcD	#netDEpic
Striking Trump won't commit to accepting outcome of election. Not a good development for our democracy. Proud of @HillaryClinton tonight	
Proud of the work @VP has already done on "Cancer Moonshot" - be sure to read article on progress thus far http://delonline.us/2dLUUDe  #NetDEpic.twitter.com/ieFk6GFh3V	#NetDEpic
In order to reach our goal of #zerohunger, we must continue to be innovative in addressing food security AND climate change. @NGOvoices	#zerohunger
On #WorldFoodDay, I’m proud to say the US made real progress on food security this year by signing the Global Food Security Act into law.	#WorldFoodDay
(2/3) In Del alone, 8,000 men & women rely on health care services from @PPDelaware including cancer screenings & HIV tests #100yearsstrong	#100yearsstrong
(1/3) Over its 100 year history, @PPFA has empowered millions of women w access to health services in US & around the world #100yearsstrongpic.twitter.com/X0JPXNnqDl	#100yearsstrongpic
Congrats to the dozens of chess masters in training competing at yesterday's 2nd annual Wilmington Urban Chess Initiative tourney @ymcadepic.twitter.com/weLpDfDvAO	
If you want your voice heard in this election, make sure to vote! Registration deadline in Delaware is tomorrow: https://ivote.de.gov/default.aspx 	
Fmr mayor of Youngstown and now Commerce's leader of Economic Dev Admin Jay Williams announces $500k grant to DTP@STAR for future startupspic.twitter.com/H4iJzBV8bk	
I love the smell of innovation in the morning! Great to be at DTP@STAR opening ceremony to celebrate Commerce's $500k investment in startupspic.twitter.com/kWMJqAXCno	
. @FLOTUS gave a powerful, moving speech today. Thank you for lifting us up!https://twitter.com/hillaryclinton/status/786658289555832834 …	
So grateful for the amazing principals in Delaware & across country for the amazing work they do! #ThankAPrincipal!	#ThankAPrincipal
Great to visit Newark's @SolvayGroup's site today and learn about its green chemistry and its specialty polymer products! #netDEpic.twitter.com/Xm1xCDonF1	#netDEpic
Getting ready to join @smerconish live in studio from 10-10:30a - be sure to tune in on @SIRIUSXM on POTUS124pic.twitter.com/lRw3zXi6vh	
The delegation job fair in full swing until 6p @ChristianaMall - Dozens of stores & shops hiring full, part-time and seasonal staff. #jobs	#jobs
Getting ready to talk to @wolfblitzer @CNNSitRoom on @CNN on last night's POTUS debate. #debate	#debate
Great to see my friend, Sen. John Danforth, at the #debate. Our politics could use some of the civility John brought to Congress. @CtrRelPolpic.twitter.com/JcY4RndDdX	#debate
Don't miss our job fair tomorrow at the @ChristianaMall from 3 - 6 pm! #netDEpic.twitter.com/rXohpZpKY9	#netDEpic
Be sure to tune into @CNN @NewDay at 6:50 am EST when I speak with @ChrisCuomo about last night's presidential debate.	
Glad to be in St. Louis for tonight's #debate, and even happier to be joined by my son Jack! #WereWithHerpic.twitter.com/oQaby3umS1	#debate #WereWithHerpic
Look forward to joining @chucktodd on @MSNBC at 5 pm to preview tonight's #debate2016.	#debate2016
This Tuesday, October 11, we are hosting our seasonal job fair at @ChristianaMall from 3-6pm - don't miss it! @SenatorCarper @JohnCarneyDEpic.twitter.com/bZg37TwJVs	
